ID	Narrative	CrossRef	Index
note1	"Electoral opinion in favour of the Unionist government. The general election of September-October 1900 was popularly described as the 'Khaki election', because called to take advantage of jingoism during the South African war of 1899-1902, khaki being the light-brown cloth used for British military field uniforms during colonial campaigns. "	""  
note2	"St Alban's Diocesan Conference. Henson maintained that 'not until the incumbent and local opinion were entirely disregarded, could an unbiased judgement be brought to bear on the facts'. The bishop of Colchester responsed that 'while Mr Henson was born to amuse, ... he was not always edifying, and [the bishop] regretted the tone of his speech, remarking at the same time that he had given no hint as to how things might be done better than at present': <i>Essex County Chronicle</i>, 2 Nov. 1900, 5."	""  
note6	"<i>The Holy Bible Two-version edition: being the Authorised version with the differences of the Revised version printed in the margins so that both texts can be read from the same page</i> (1899)."	""  
note9	"A prelude to Henson's determined effort to secure the place of the Revised Version at the lectern in Westminster Abbey, primarily on grounds of conviction but also because of the close association of the Abbey in its creation: <i>Retrospect</i>, I, 57. The work of revision, by members of various protestant churches in England, Wales, Scotland and Ireland, began in 1870 in the Jerusalem chamber of the Abbey: Mark D. Chapman, 'New Testament revision company (act. 1870-81)', ODNB."	""  
note10	"Henson's first signed article was 'The Society of Jesus', a review of A. P. Pennington, <i>The Counter-Reformation in Europe</i> (1899), in <i>The Saturday Review</i>, 88, 14 Oct. 1899, 481-2. Henson was invited by the editor, Harold Hodge, to become Ã”Church correspondentÃ• for the review in 1898: see Journal, 13 Dec. 1898."	""  
note11	"The 'Lord Mallard Ritual' is a fellows' ceremony at All Souls College, held on or near the evening of 1 January at the turn of each century: see essay on All Souls College. "	""  
note12	"The Lord Mallard Song is sung twice a year to fellows at All Souls College, at their winter and summer gaudies (feasts): see essay on All Souls College."	""  
note14	"An incarnationist critique of atonement theology, associated with Reginald John Campbell from the publication of his <i>The New Theology</i> (1907)."	"pers.392"  
note16	"Henson's first publicly advocated the cause of reunion of the protestant churches in Britain through intercommunion in his sermon at Great St Mary's Church, Cambridge, 20 Oct. 1901, reprinted as 'An Appeal for Unity', in <i>Godly Union and Concord</i> (1902), 126-44. It followed from his determination to follow Dean Stanley in Westminster Abbey and Canon Farrar, his predecessor at St Margaret's, in making Westminster the centre of a 'national' version of Christianity: <i>Retrospect</i>, I, 51."	""  
note17	"The British victory in the South African war was sealed by the peace treaty of Vereeniging, on 31 May 1902. Thanksgiving services were held throughout the Church of England on 8 June (a special form of prayer was distributed for the purpose), and the king and queen attended the service in St Paul's Cathedral. Other churches throughout Britain organised thanksgivings on the same day, as did many churches in the empire."	""  
