ID  Name Narrative CrossRef  Index
place2 "Scarletts"  "Scarletts. An estate adjoining the southern end of the recreation ground in Colchester, rented by the government from 1885 to accommodate the commander of the recently created eastern district of the British army."  ""  
place3 "Bourdon House"  "Bourdon House. No. 2 [formerly no. 33] Davies Street, Mayfair, London; an early Georgian house, built in the 1720s. Bourdon was the surname of its original lessee and first occupier."  ""  
place4 "Hatfield House"  "Hatfield House. The hereditary seat of the Marquess and Marchioness of Salisbury, in Hatfield, Hertfordshire."  "pers.36,person582,person131"  
place5 "Dean's Yard"  "Dean's Yard. Precincts of the former monastery at Westminster not occupied by the Abbey church itself. Along with Little Cloisters and Great Cloisters, Dean's Yard provided homes for many functionaries of the Abbey, placing Henson within a community of neighbours whose lives were focused on the Church and its associated institutions. Henson lived at 17 Dean's Yard, and his neighbours included the sacrist, Jocelyn Perkins; the clerk of works, Thomas Wright; the headmaster of Westminster School, James Gow; the archdeacon, Basil Wilberforce; St. Margaret's curate, Charles Sherwood; the chapter clerk, George Herbert, and the civil servant and later Conservative MP, Henry Craik. The other canons, sub-dean, and Abbey organist lived a short distance away at Great and Little Cloisters."  "pers.811,person675,person674,person808,person170,person344,person216,person810,person109,person489,person682,person1742"  
place7 "Falconhurst"  "Falconhurst. Talbot family home in the Weald."  ""  
place8 "Excelsior Hall"  "Excelsior Hall. Public hall in Bethnal Green purchased by Oxford House in 1898."  ""  
place9 "Whittinghame"  "Whittinghame. The family home of Arthur Balfour, prime minister 1902-5, in East Lothian."  "pers.508"  
place10 "Jerusalem Chamber"  "Jerusalem Chamber. Originally the parlour of the Abbot's house attached to the Benedictine monastery, and incorporated into the deanery after the Reformation. "  ""  
place11 "Collegiate House"  "Collegiate House. Purchased by the bishop of Southwark from St Thomas's Hospital in the nineteenth century to serve as a residence for clergymen. "  ""  
place13 "Church House"  "Church House. Meeting place of the Convocation of Canterbury and other committees and societies associated with the Church of England, in Dean's Yard, Westminster. "  ""  
place17 "Bisley Camp"  "Bisley camp. Firing ranges in Surrey, venue each July since 1890 of the annual imperial meeting of the National Rifle Association."  ""  
place18 "Mansion House"  "Mansion House.ÊOfficial residence of the Lord Mayor of [the City of] London, andÊa leading venue for civic and charitable meetings."  ""  
place19 "Murraythwaite"  "Murraythwaite House, Ecclefechan, Dumfries and Galloway. Family home of Major William Murray, one of Henson's Oxford friends during his earlier fellowship at All Souls. "  "pers.666,person227"  
place22 "Hughenden Manor"  "Hughenden Manor. The former home of Benjamin Disraeli."  ""  
place25 "Drummond Castle"  "Castle near Crieff, Perthshire, dating from the 1490s. Owned in Henson's day by the earls of Ancaster."  ""  
place28 "Triforium"  "Space above the nave arcades and extending over the ceilings of the side chapels."  ""  
place45 "Dartmouth Hall"  "Dartmouth Hall mission, London."  ""  
place24 "Ochtertyre House"  "A mansion overlooking Loch Monzievard built for Sir William Murray (1746-1800), 5th baronet."  ""  
place26 "Holyrood (area of Edinburgh)"  "Holyrood can mean the area of Edinburgh at the bottom of The Royal Mile, or the Royal Palace of Holyrood at the heart of this area. The Lord High Commissioner to the Church of Scotland, as the sovereign's representative, used the Palace for formal entertainments during the period of the general assembly's sessions."  ""  
place27 "Holyroodhouse/Holyrood Palace"  "Principal residence of the kings and queens of Scotland since the sixteenth century, and official residence of the British monarch in Scotland; re-built as a classical palace for Charles II on the restoration of the monarchy."  ""  
place29 "Stationers Hall"  "Hall of the Worshipful Company of Stationers and Newspaper Makers, Milk Street, re-built after the Great Fire of 1666 and one of the most beautiful company halls in London. "  ""  
place30 "Leysian Hall"  "Built in 1903-4 in City Road, East London, the striking red-brick building was one of around a hundred centres organised by Methodists in British towns and cities to assist the poor, both materially and spiritually; run by the old boys of the Leys School, Cambridge."  ""  
place32 "Assembly Hall"  "Built for the Free Church of Scotland in 1858-9 following the 'Disruption' and extended in 1885; used by the United Free Church of Scotland after the union of the largest part of the Free Church with the United Presbyterian Church in 1900."  ""  
place33 "St Stephen's Chapel"  "Chapel in the royal palace of Westminster completed around 1297, which served as the chamber of the House of Commons before it was destroyed by fire in 1834; but the chapel of St Mary Undercroft in the crypt survived."  ""  
place35 "Free Trade Hall"  "Built to commemorate the repeal of the Corn Laws in 1846 on land donated by John Bright which marked the site of the Peterloo massacre; Manchester's principal meeting and concert hall until the construction of the Bridgewater Hall in 1996"  ""  
place36 "Memorial Hall"  "Perhaps a reference to New Town Hall, Stratford (1869), said to be the 'finest building in the county of Essex'; this housed a large hall on the first floor, possibly commemorating the Stratford martyrs burnt at the stake during the reign of Queen Mary, and to whom a memorial was built in the churchyard of St John's parish church in 1878. "  ""  
place41 "London Trocadero"  "A restaurant opened in 1896 by J. Lyons & Co., which became the centre of an entertainment complex in Coventry Street."  ""  
place42 "General Assembly Hall of the Church of Scotland"  "From 1845 to 1929 the meetings of the general assembly of the Church of Scotland were held in Victoria Hall at the top of The Royal Mile in Edinburgh. After the Church's union with the United Free Church (UFC) in 1929, the general assembly of the united Church was held in the UFC's assembly hall."  ""  
place43 "Advocates Library"  "Library of the Faculty of Advocates, formally established in 1689, and reputed to be the finest working law library in Britain; incorporated into the National Library of Scotland in 1925."  ""  
place56 "Rosslyn Chapel"  "Rosslyn Chapel, founded in the mid fifteenth century by William Sinclair, 1st earl of Caithness, and restored in the 1860s, is remarkable for its elaborate architecture and exuberant stone carvings."  ""  
place21 "Devonshire House"  "London residence of the Dukes of Devonshire in Piccadilly from 1696 until 1924, when it was demolished."  ""  
place31 "India Office"  "Established in 1858, the office oversaw British-governed territories in India and relations with the remaining Indian native states; it occupied the western end of what is now the Foreign and Commonwealth Office."  ""  
place48 "Rose Castle"  "Rose Castle, close to the village of Dalston in Cumberland, was the residence of bishops of Carlisle from the 13th century; its Strickland Tower dates from c. 1400-19."  ""  
place49 "Frewin Hall"  "The origin of Frewin Hall was as the medieval Oxford college of the Augustinian order. From 1580 it was owned by Brasenose College; the building was altered and extended by Richard Frewin, an 18th-century professor of history."  ""  
